bin_id,aisle,shelf,bin_num,zone_type,x_coord,y_coord,z_coord,length,width,height,max_weight,distance_to_pickup,requires_ladder
A05-S1-B06,5,1,6,normal,5,1,6,0.6,0.4,0.4,50.0,9,False
A05-S2-B01,5,2,1,normal,5,2,1,0.6,0.4,0.4,50.0,5,False
A05-S2-B02,5,2,2,normal,5,2,2,0.6,0.4,0.4,50.0,6,False
A05-S2-B03,5,2,3,normal,5,2,3,0.6,0.4,0.4,50.0,7,False
A05-S2-B04,5,2,4,normal,5,2,4,0.6,0.4,0.4,50.0,8,False
A05-S2-B05,5,2,5,normal,5,2,5,0.6,0.4,0.4,50.0,9,False
A05-S2-B06,5,2,6,normal,5,2,6,0.6,0.4,0.4,50.0,10,False
A05-S3-B01,5,3,1,normal,5,3,1,0.6,0.4,0.4,50.0,6,True
A05-S3-B02,5,3,2,normal,5,3,2,0.6,0.4,0.4,50.0,7,True
A05-S3-B03,5,3,3,normal,5,3,3,0.6,0.4,0.4,50.0,8,True
A05-S3-B04,5,3,4,normal,5,3,4,0.6,0.4,0.4,50.0,9,True
A05-S3-B05,5,3,5,normal,5,3,5,0.6,0.4,0.4,50.0,10,True
A05-S3-B06,5,3,6,normal,5,3,6,0.6,0.4,0.4,50.0,11,True
A05-S4-B01,5,4,1,normal,5,4,1,0.6,0.4,0.4,50.0,7,True
A05-S4-B02,5,4,2,normal,5,4,2,0.6,0.4,0.4,50.0,8,True
A05-S4-B03,5,4,3,normal,5,4,3,0.6,0.4,0.4,50.0,9,True
A05-S4-B04,5,4,4,normal,5,4,4,0.6,0.4,0.4,50.0,10,True
A05-S4-B05,5,4,5,normal,5,4,5,0.6,0.4,0.4,50.0,11,True
A05-S4-B06,5,4,6,normal,5,4,6,0.6,0.4,0.4,50.0,12,True
A06-S1-B01,6,1,1,cold_storage,6,1,1,0.6,0.4,0.4,50.0,5,False
A06-S1-B02,6,1,2,cold_storage,6,1,2,0.6,0.4,0.4,50.0,6,False
A06-S1-B03,6,1,3,cold_storage,6,1,3,0.6,0.4,0.4,50.0,7,False
A06-S1-B04,6,1,4,cold_storage,6,1,4,0.6,0.4,0.4,50.0,8,False
A06-S1-B05,6,1,5,cold_storage,6,1,5,0.6,0.4,0.4,50.0,9,False
A06-S1-B06,6,1,6,cold_storage,6,1,6,0.6,0.4,0.4,50.0,10,False
A06-S2-B01,6,2,1,cold_storage,6,2,1,0.6,0.4,0.4,50.0,6,False
A06-S2-B02,6,2,2,cold_storage,6,2,2,0.6,0.4,0.4,50.0,7,False
A06-S2-B03,6,2,3,cold_storage,6,2,3,0.6,0.4,0.4,50.0,8,False
A06-S2-B04,6,2,4,cold_storage,6,2,4,0.6,0.4,0.4,50.0,9,False
A06-S2-B05,6,2,5,cold_storage,6,2,5,0.6,0.4,0.4,50.0,10,False
A06-S2-B06,6,2,6,cold_storage,6,2,6,0.6,0.4,0.4,50.0,11,False
A06-S3-B01,6,3,1,cold_storage,6,3,1,0.6,0.4,0.4,50.0,7,True
A06-S3-B02,6,3,2,cold_storage,6,3,2,0.6,0.4,0.4,50.0,8,True
A06-S3-B03,6,3,3,cold_storage,6,3,3,0.6,0.4,0.4,50.0,9,True
A06-S3-B04,6,3,4,cold_storage,6,3,4,0.6,0.4,0.4,50.0,10,True
A06-S3-B05,6,3,5,cold_storage,6,3,5,0.6,0.4,0.4,50.0,11,True
A06-S3-B06,6,3,6,cold_storage,6,3,6,0.6,0.4,0.4,50.0,12,True
A06-S4-B01,6,4,1,cold_storage,6,4,1,0.6,0.4,0.4,50.0,8,True
A06-S4-B02,6,4,2,cold_storage,6,4,2,0.6,0.4,0.4,50.0,9,True
A06-S4-B03,6,4,3,cold_storage,6,4,3,0.6,0.4,0.4,50.0,10,True
A06-S4-B04,6,4,4,cold_storage,6,4,4,0.6,0.4,0.4,50.0,11,True
A06-S4-B05,6,4,5,cold_storage,6,4,5,0.6,0.4,0.4,50.0,12,True
A06-S4-B06,6,4,6,cold_storage,6,4,6,0.6,0.4,0.4,50.0,13,True
A07-S1-B01,7,1,1,cold_storage,7,1,1,0.6,0.4,0.4,50.0,6,False
A07-S1-B02,7,1,2,cold_storage,7,1,2,0.6,0.4,0.4,50.0,7,False
A07-S1-B03,7,1,3,cold_storage,7,1,3,0.6,0.4,0.4,50.0,8,False
A07-S1-B04,7,1,4,cold_storage,7,1,4,0.6,0.4,0.4,50.0,9,False
A07-S1-B05,7,1,5,cold_storage,7,1,5,0.6,0.4,0.4,50.0,10,False
A07-S1-B06,7,1,6,cold_storage,7,1,6,0.6,0.4,0.4,50.0,11,False
A07-S2-B01,7,2,1,cold_storage,7,2,1,0.6,0.4,0.4,50.0,7,False
A07-S2-B02,7,2,2,cold_storage,7,2,2,0.6,0.4,0.4,50.0,8,False
A07-S2-B03,7,2,3,cold_storage,7,2,3,0.6,0.4,0.4,50.0,9,False
A07-S2-B04,7,2,4,cold_storage,7,2,4,0.6,0.4,0.4,50.0,10,False
A07-S2-B05,7,2,5,cold_storage,7,2,5,0.6,0.4,0.4,50.0,11,False
A07-S2-B06,7,2,6,cold_storage,7,2,6,0.6,0.4,0.4,50.0,12,False
A07-S3-B01,7,3,1,cold_storage,7,3,1,0.6,0.4,0.4,50.0,8,True
A07-S3-B02,7,3,2,cold_storage,7,3,2,0.6,0.4,0.4,50.0,9,True
A07-S3-B03,7,3,3,cold_storage,7,3,3,0.6,0.4,0.4,50.0,10,True
A07-S3-B04,7,3,4,cold_storage,7,3,4,0.6,0.4,0.4,50.0,11,True
A07-S3-B05,7,3,5,cold_storage,7,3,5,0.6,0.4,0.4,50.0,12,True
A07-S3-B06,7,3,6,cold_storage,7,3,6,0.6,0.4,0.4,50.0,13,True
A07-S4-B01,7,4,1,cold_storage,7,4,1,0.6,0.4,0.4,50.0,9,True
A07-S4-B02,7,4,2,cold_storage,7,4,2,0.6,0.4,0.4,50.0,10,True
A07-S4-B03,7,4,3,cold_storage,7,4,3,0.6,0.4,0.4,50.0,11,True
A07-S4-B04,7,4,4,cold_storage,7,4,4,0.6,0.4,0.4,50.0,12,True
A07-S4-B05,7,4,5,cold_storage,7,4,5,0.6,0.4,0.4,50.0,13,True
A07-S4-B06,7,4,6,cold_storage,7,4,6,0.6,0.4,0.4,50.0,14,True
A08-S1-B01,8,1,1,fragile,8,1,1,0.6,0.4,0.4,20.0,7,False
A08-S1-B02,8,1,2,fragile,8,1,2,0.6,0.4,0.4,20.0,8,False
A08-S1-B03,8,1,3,fragile,8,1,3,0.6,0.4,0.4,20.0,9,False
A08-S1-B04,8,1,4,fragile,8,1,4,0.6,0.4,0.4,20.0,10,False
A08-S1-B05,8,1,5,fragile,8,1,5,0.6,0.4,0.4,20.0,11,False
A08-S1-B06,8,1,6,fragile,8,1,6,0.6,0.4,0.4,20.0,12,False
A08-S2-B01,8,2,1,fragile,8,2,1,0.6,0.4,0.4,20.0,8,False
A08-S2-B02,8,2,2,fragile,8,2,2,0.6,0.4,0.4,20.0,9,False
A08-S2-B03,8,2,3,fragile,8,2,3,0.6,0.4,0.4,20.0,10,False
A08-S2-B04,8,2,4,fragile,8,2,4,0.6,0.4,0.4,20.0,11,False
A08-S2-B05,8,2,5,fragile,8,2,5,0.6,0.4,0.4,20.0,12,False
A08-S2-B06,8,2,6,fragile,8,2,6,0.6,0.4,0.4,20.0,13,False
A08-S3-B01,8,3,1,fragile,8,3,1,0.6,0.4,0.4,20.0,9,True
A08-S3-B02,8,3,2,fragile,8,3,2,0.6,0.4,0.4,20.0,10,True
A08-S3-B03,8,3,3,fragile,8,3,3,0.6,0.4,0.4,20.0,11,True
A08-S3-B04,8,3,4,fragile,8,3,4,0.6,0.4,0.4,20.0,12,True
A08-S3-B05,8,3,5,fragile,8,3,5,0.6,0.4,0.4,20.0,13,True
A08-S3-B06,8,3,6,fragile,8,3,6,0.6,0.4,0.4,20.0,14,True
A08-S4-B01,8,4,1,fragile,8,4,1,0.6,0.4,0.4,20.0,10,True
A08-S4-B02,8,4,2,fragile,8,4,2,0.6,0.4,0.4,20.0,11,True
A08-S4-B03,8,4,3,fragile,8,4,3,0.6,0.4,0.4,20.0,12,True
A08-S4-B04,8,4,4,fragile,8,4,4,0.6,0.4,0.4,20.0,13,True
A08-S4-B05,8,4,5,fragile,8,4,5,0.6,0.4,0.4,20.0,14,True
A08-S4-B06,8,4,6,fragile,8,4,6,0.6,0.4,0.4,20.0,15,True
A09-S1-B01,9,1,1,hazardous,9,1,1,0.6,0.4,0.4,50.0,8,False
A09-S1-B02,9,1,2,hazardous,9,1,2,0.6,0.4,0.4,50.0,9,False
A09-S1-B03,9,1,3,hazardous,9,1,3,0.6,0.4,0.4,50.0,10,False
A09-S1-B04,9,1,4,hazardous,9,1,4,0.6,0.4,0.4,50.0,11,False
A09-S1-B05,9,1,5,hazardous,9,1,5,0.6,0.4,0.4,50.0,12,False
A09-S1-B06,9,1,6,hazardous,9,1,6,0.6,0.4,0.4,50.0,13,False
A09-S2-B01,9,2,1,hazardous,9,2,1,0.6,0.4,0.4,50.0,9,False
A09-S2-B02,9,2,2,hazardous,9,2,2,0.6,0.4,0.4,50.0,10,False
A09-S2-B03,9,2,3,hazardous,9,2,3,0.6,0.4,0.4,50.0,11,False
A09-S2-B04,9,2,4,hazardous,9,2,4,0.6,0.4,0.4,50.0,12,False
A09-S2-B05,9,2,5,hazardous,9,2,5,0.6,0.4,0.4,50.0,13,False
A09-S2-B06,9,2,6,hazardous,9,2,6,0.6,0.4,0.4,50.0,14,False
A09-S3-B01,9,3,1,hazardous,9,3,1,0.6,0.4,0.4,50.0,10,True
A09-S3-B02,9,3,2,hazardous,9,3,2,0.6,0.4,0.4,50.0,11,True
A09-S3-B03,9,3,3,hazardous,9,3,3,0.6,0.4,0.4,50.0,12,True
A09-S3-B04,9,3,4,hazardous,9,3,4,0.6,0.4,0.4,50.0,13,True
A09-S3-B05,9,3,5,hazardous,9,3,5,0.6,0.4,0.4,50.0,14,True
A09-S3-B06,9,3,6,hazardous,9,3,6,0.6,0.4,0.4,50.0,15,True
A09-S4-B01,9,4,1,hazardous,9,4,1,0.6,0.4,0.4,50.0,11,True
A09-S4-B02,9,4,2,hazardous,9,4,2,0.6,0.4,0.4,50.0,12,True
A09-S4-B03,9,4,3,hazardous,9,4,3,0.6,0.4,0.4,50.0,13,True
A09-S4-B04,9,4,4,hazardous,9,4,4,0.6,0.4,0.4,50.0,14,True
A09-S4-B05,9,4,5,hazardous,9,4,5,0.6,0.4,0.4,50.0,15,True
A09-S4-B06,9,4,6,hazardous,9,4,6,0.6,0.4,0.4,50.0,16,True
A10-S1-B01,10,1,1,hazardous,10,1,1,0.6,0.4,0.4,50.0,9,False
A10-S1-B02,10,1,2,hazardous,10,1,2,0.6,0.4,0.4,50.0,10,False
A10-S1-B03,10,1,3,hazardous,10,1,3,0.6,0.4,0.4,50.0,11,False
A10-S1-B04,10,1,4,hazardous,10,1,4,0.6,0.4,0.4,50.0,12,False
A10-S1-B05,10,1,5,hazardous,10,1,5,0.6,0.4,0.4,50.0,13,False
A10-S1-B06,10,1,6,hazardous,10,1,6,0.6,0.4,0.4,50.0,14,False
A10-S2-B01,10,2,1,hazardous,10,2,1,0.6,0.4,0.4,50.0,10,False
A10-S2-B02,10,2,2,hazardous,10,2,2,0.6,0.4,0.4,50.0,11,False
A10-S2-B03,10,2,3,hazardous,10,2,3,0.6,0.4,0.4,50.0,12,False
A10-S2-B04,10,2,4,hazardous,10,2,4,0.6,0.4,0.4,50.0,13,False
A10-S2-B05,10,2,5,hazardous,10,2,5,0.6,0.4,0.4,50.0,14,False
A10-S2-B06,10,2,6,hazardous,10,2,6,0.6,0.4,0.4,50.0,15,False
A10-S3-B01,10,3,1,hazardous,10,3,1,0.6,0.4,0.4,50.0,11,True
A10-S3-B02,10,3,2,hazardous,10,3,2,0.6,0.4,0.4,50.0,12,True
A10-S3-B03,10,3,3,hazardous,10,3,3,0.6,0.4,0.4,50.0,13,True
A10-S3-B04,10,3,4,hazardous,10,3,4,0.6,0.4,0.4,50.0,14,True
A10-S3-B05,10,3,5,hazardous,10,3,5,0.6,0.4,0.4,50.0,15,True
A10-S3-B06,10,3,6,hazardous,10,3,6,0.6,0.4,0.4,50.0,16,True
A10-S4-B01,10,4,1,hazardous,10,4,1,0.6,0.4,0.4,50.0,12,True
A10-S4-B02,10,4,2,hazardous,10,4,2,0.6,0.4,0.4,50.0,13,True
A10-S4-B03,10,4,3,hazardous,10,4,3,0.6,0.4,0.4,50.0,14,True
A10-S4-B04,10,4,4,hazardous,10,4,4,0.6,0.4,0.4,50.0,15,True
A10-S4-B05,10,4,5,hazardous,10,4,5,0.6,0.4,0.4,50.0,16,True
A10-S4-B06,10,4,6,hazardous,10,4,6,0.6,0.4,0.4,50.0,17,True
